uid	old_dims	old_gp	truth_dims	truth_gp
920	(50475, 20080)	1,01	15827x15827	0,25
926	(83811, 55825)	4,68	19385x12912	0,25
927	(27913, 55824)	1,56	11187x22373	0,25
929	(55825, 55825)	3,12	15827x15827	0,25
964	(61223, 57001)	3,49	16396x15265	0,25
977	(31518, 24310)	0,77	17646x14184	0,25
1043	(44384, 44507)	1,98	15799x15843	0,25
1046	(56268, 24869)	1,40	23798x10518	0,25
1047	(48765, 32937)	1,61	19250x13002	0,25
1049	(62406, 38460)	2,40	20153x12420	0,25
1056	(45508, 28896)	1,31	19855x12607	0,25
1057	(47516, 31111)	1,48	19552x12802	0,25
1058	(59637, 31674)	1,89	21709x11530	0,25
1064	(43946, 45600)	2,00	15531x16116	0,25
1084	(46415, 25528)	1,18	21333x11733	0,25
1085	(46234, 25573)	1,18	21272x11766	0,25
1089	(81557, 49846)	4,07	20236x12368	0,25
1090	(38276, 31993)	1,22	17305x14464	0,25
1098	(55954, 40684)	2,28	18553x13490	0,25
1102	(50622, 16874)	0,85	27402x9134	0,25
1103	(50622, 16874)	0,85	27402x9134	0,25
1105	(71403, 59671)	4,26	17307x14463	0,25
1113	(76121, 14756)	1,12	35932x6965	0,25
1115	(45409, 15095)	0,69	27439x9121	0,25
1120	(53672, 13952)	0,75	31029x8066	0,25
1124	(54342, 23145)	1,26	24242x10325	0,25
1136	(29518, 8480)	0,25	53589x15396	0,83
1137	(26783, 9337)	0,25	131137x45715	5,99
1138	(24207, 10341)	0,25	111956x47827	5,35
1141	(31373, 7972)	0,25	61413x15606	0,96
1142	(15827, 15827)	0,25	55167x55167	3,04
1143	(26858, 9309)	0,25	78833x27323	2,15
1144	(31920, 7837)	0,25	57730x14173	0,82
1145	(21887, 11437)	0,25	39361x20568	0,81
1146	(20292, 12340)	0,25	74000x45000	3,33
1148	(22925, 10913)	0,25	99696x47461	4,73
1149	(18601, 13441)	0,25	70273x50778	3,57
1150	(21161, 11823)	0,25	47652x26624	1,27
1151	(14495, 10370)	0,15	54235x38802	2,10
1152	(22811, 10973)	0,25	43500x20925	0,91
1153	(15159, 16506)	0,25	34941x38045	1,33
1154	(14114, 17729)	0,25	43997x55264	2,43
1155	(21299, 11740)	0,25	30816x16986	0,52
1156	(28110, 8894)	0,25	138868x43939	6,10
1157	(46196, 5418)	0,25	178348x20916	3,73
1158	(25268, 9907)	0,25	61237x24010	1,47
1162	(61010, 4101)	0,25	145221x9761	1,42
1163	(33990, 7362)	0,25	105357x22819	2,40
1164	(23386, 10698)	0,25	113850x52083	5,93
1165	(38396, 6514)	0,25	140958x23913	3,37
1166	(21413, 11681)	0,25	62337x34006	2,12
1167	(18336, 13642)	0,25	39496x29385	1,16
1168	(17001, 14728)	0,25	34247x29669	1,02
1169	(56866, 4403)	0,25	165555x12819	2,12
1170	(35967, 6952)	0,25	286451x55367	15,86
1171	(23061, 10848)	0,25	118126x55570	6,56
1172	(33629, 7444)	0,25	95176x21069	2,01
1173	(27393, 9138)	0,25	109422x36503	3,99
1176	(29010, 8628)	0,25	102028x30345	3,10
1191	(19370, 12913)	0,25	40733x42492	1,73
1192	(18832, 13290)	0,25	85420x60283	5,15
1202	(12682, 19738)	0,25	28188x43871	1,24
1236	(20201, 12391)	0,25	52621x32277	1,70
1259	(19470, 12855)	0,25	33968x22428	0,76
1293	(39053, 29679)	1,16	18148x13792	0,25
1302	(34239, 25609)	0,88	18293x13682	0,25
1304	(30383, 30383)	0,92	15827x15827	0,25
1312	(27315, 28528)	0,78	15481x16168	0,25
1318	(46556, 22292)	1,04	22863x10947	0,25
1319	(61152, 45368)	2,77	18368x13627	0,25
1326	(61152, 23202)	1,42	25684x9745	0,25
1327	(43730, 34948)	1,53	17697x14143	0,25
1331	(30040, 47873)	1,44	12532x19972	0,25
1335	(44667, 40052)	1,79	16707x14981	0,25
1337	(20115, 40052)	0,81	11212x22325	0,25
1339	(44667, 17578)	0,79	25220x9925	0,25
1345	(44759, 43813)	1,96	15991x15653	0,25
1350	(29209, 43813)	1,28	12918x19377	0,25
1358	(21332, 30745)	0,66	13178x18993	0,25
1364	(34254, 37245)	1,28	15172x16497	0,25
1365	(42373, 16477)	0,70	25371x9866	0,25
1370	(42671, 29485)	1,26	19032x13151	0,25
1375	(31372, 32049)	1,01	15653x15991	0,25
1397	(45391, 29911)	1,36	19490x12843	0,25
1402	(47619, 18919)	0,90	25099x9972	0,25
1406	(33450, 24589)	0,82	18452x13564	0,25
1434	(30292, 49637)	1,50	12359x20252	0,25
1435	(48278, 26878)	1,30	21203x11804	0,25
1436	(99004, 56481)	5,59	20946x11950	0,25
1441	(73181, 73752)	5,40	15759x15882	0,25
1446	(40249, 27791)	1,12	19039x13146	0,25
1548	(28203, 28203)	0,80	15827x15827	0,25
1553	(38351, 21981)	0,84	20897x11977	0,25
1555	(37338, 37337)	1,39	15827x15826	0,25
1558	(15827, 15827)	0,25	39437x39437	1,56
1570	(28542, 28663)	0,82	15787x15854	0,25
1578	(27264, 27265)	0,74	15827x15827	0,25
1586	(45141, 26308)	1,19	20724x12078	0,25
